Release  Id : 325	Credit to Non-Financial Sector
CRDQARAPABIS                  Total Credit to Private Non-Financial Sector, Adjusted for Breaks, for Argentina                                         B NSA  05-Dec-2022 01-Apr-2022             Quarterly, End of  
CRDQSGANUBIS                  Total Credit to Non-Financial Corporations, Unadjusted for Breaks, for Singapore                                         B NSA  05-Dec-2022 01-Apr-2022             Quarterly, End of  
CRDQSGAPABIS                  Total Credit to Private Non-Financial Sector, Adjusted for Breaks, for Singapore                                         B NSA  05-Dec-2022 01-Apr-2022             Quarterly, End of  
CRDQSGAPUBIS                  Total Credit to Private Non-Financial Sector, Unadjusted for Breaks, for Singapore                                       B NSA  05-Dec-2022 01-Apr-2022             Quarterly, End of  
CRDQSGBPABIS                  Credit to Private Non-Financial Sector by Domestic Banks, Adjusted for Breaks, for Singapore                             B NSA  05-Dec-2022 01-Apr-2022             Quarterly, End of  
CRDQSGBPUBIS                  Credit to Private Non-Financial Sector by Domestic Banks, Unadjusted for Breaks, for Singapore                           B NSA  05-Dec-2022 01-Apr-2022             Quarterly, End of  
CRDQTHAHABIS                  Total Credit to Households and Non-Profit Institutions Serving Households, Adjusted for Breaks, for Thailand             B NSA  05-Dec-2022 01-Apr-2022             Quarterly, End of  
CRDQTHAHUBIS                  Total Credit to Households and Non-Profit Institutions Serving Households, Unadjusted for Breaks, for Thailand           B NSA  05-Dec-2022 01-Apr-2022             Quarterly, End of  
CRDQTHANABIS                  Total Credit to Non-Financial Corporations, Adjusted for Breaks, for Thailand                                            B NSA  05-Dec-2022 01-Apr-2022             Quarterly, End of  
CRDQTHANUBIS                  Total Credit to Non-Financial Corporations, Unadjusted for Breaks, for Thailand                                          B NSA  05-Dec-2022 01-Apr-2022             Quarterly, End of  
CRDQTHAPABIS                  Total Credit to Private Non-Financial Sector, Adjusted for Breaks, for Thailand                                          B NSA  05-Dec-2022 01-Apr-2022             Quarterly, End of  
CRDQTHAPUBIS                  Total Credit to Private Non-Financial Sector, Unadjusted for Breaks, for Thailand                                        B NSA  05-Dec-2022 01-Apr-2022             Quarterly, End of  
CRDQTHBPABIS                  Credit to Private Non-Financial Sector by Domestic Banks, Adjusted for Breaks, for Thailand                              B NSA  05-Dec-2022 01-Apr-2022             Quarterly, End of  
CRDQTHBPUBIS                  Credit to Private Non-Financial Sector by Domestic Banks, Unadjusted for Breaks, for Thailand                            B NSA  05-Dec-2022 01-Apr-2022             Quarterly, End of  
CRDQTRAHABIS                  Total Credit to Households and Non-Profit Institutions Serving Households, Adjusted for Breaks, for Turkey               B NSA  05-Dec-2022 01-Apr-2022             Quarterly, End of  
CRDQTRAHUBIS                  Total Credit to Households and Non-Profit Institutions Serving Households, Unadjusted for Breaks, for Turkey             B NSA  05-Dec-2022 01-Apr-2022             Quarterly, End of  
CRDQTRANABIS                  Total Credit to Non-Financial Corporations, Adjusted for Breaks, for Turkey                                              B NSA  05-Dec-2022 01-Apr-2022             Quarterly, End of  
CRDQTRANUBIS                  Total Credit to Non-Financial Corporations, Unadjusted for Breaks, for Turkey                                            B NSA  05-Dec-2022 01-Apr-2022             Quarterly, End of  
CRDQTRAPABIS                  Total Credit to Private Non-Financial Sector, Adjusted for Breaks, for Turkey                                            B NSA  05-Dec-2022 01-Apr-2022             Quarterly, End of  
CRDQTRAPUBIS                  Total Credit to Private Non-Financial Sector, Unadjusted for Breaks, for Turkey                                          B NSA  05-Dec-2022 01-Apr-2022             Quarterly, End of  
CRDQTRBPABIS                  Credit to Private Non-Financial Sector by Domestic Banks, Adjusted for Breaks, for Turkey                                B NSA  05-Dec-2022 01-Apr-2022             Quarterly, End of  
CRDQTRBPUBIS                  Credit to Private Non-Financial Sector by Domestic Banks, Unadjusted for Breaks, for Turkey                              B NSA  05-Dec-2022 01-Apr-2022             Quarterly, End of  
CRDQUSAHABIS                  Total Credit to Households and Non-Profit Institutions Serving Households, Adjusted for Breaks, for United States        B NSA  05-Dec-2022 01-Apr-2022             Quarterly, End of  
CRDQUSAHUBIS                  Total Credit to Households and Non-Profit Institutions Serving Households, Unadjusted for Breaks, for United States      B NSA  05-Dec-2022 01-Apr-2022             Quarterly, End of  
CRDQUSANABIS                  Total Credit to Non-Financial Corporations, Adjusted for Breaks, for United States                                       B NSA  05-Dec-2022 01-Apr-2022             Quarterly, End of  
CRDQUSANUBIS                  Total Credit to Non-Financial Corporations, Unadjusted for Breaks, for United States                                     B NSA  05-Dec-2022 01-Apr-2022             Quarterly, End of  
CRDQUSAPABIS                  Total Credit to Private Non-Financial Sector, Adjusted for Breaks, for United States                                     B NSA  05-Dec-2022 01-Apr-2022             Quarterly, End of  
CRDQUSAPUBIS                  Total Credit to Private Non-Financial Sector, Unadjusted for Breaks, for United States                                   B NSA  05-Dec-2022 01-Apr-2022             Quarterly, End of  
CRDQUSBPABIS                  Credit to Private Non-Financial Sector by Domestic Banks, Adjusted for Breaks, for United States                         B NSA  05-Dec-2022 01-Apr-2022             Quarterly, End of  
CRDQUSBPUBIS                  Credit to Private Non-Financial Sector by Domestic Banks, Unadjusted for Breaks, for United States                       B NSA  05-Dec-2022 01-Apr-2022             Quarterly, End of  
CRDQXMAHABIS                  Total Credit to Households and Non-Profit Institutions Serving Households, Adjusted for Breaks, for Euro area            B NSA  05-Dec-2022 01-Apr-2022             Quarterly, End of  
CRDQXMAHUBIS                  Total Credit to Households and Non-Profit Institutions Serving Households, Unadjusted for Breaks, for Euro area          B NSA  05-Dec-2022 01-Apr-2022             Quarterly, End of  
CRDQXMANABIS                  Total Credit to Non-Financial Corporations, Adjusted for Breaks, for Euro area                                           B NSA  05-Dec-2022 01-Apr-2022             Quarterly, End of  
CRDQXMANUBIS                  Total Credit to Non-Financial Corporations, Unadjusted for Breaks, for Euro area                                         B NSA  05-Dec-2022 01-Apr-2022             Quarterly, End of  
CRDQXMAPABIS                  Total Credit to Private Non-Financial Sector, Adjusted for Breaks, for Euro area                                         B NSA  05-Dec-2022 01-Apr-2022             Quarterly, End of  
CRDQXMAPUBIS                  Total Credit to Private Non-Financial Sector, Unadjusted for Breaks, for Euro area                                       B NSA  05-Dec-2022 01-Apr-2022             Quarterly, End of  
CRDQXMBPABIS                  Credit to Private Non-Financial Sector by Domestic Banks, Adjusted for Breaks, for Euro Area                             B NSA  05-Dec-2022 01-Apr-2022             Quarterly, End of  
CRDQXMBPUBIS                  Credit to Private Non-Financial Sector by Domestic Banks, Unadjusted for Breaks, for Euro area                           B NSA  05-Dec-2022 01-Apr-2022             Quarterly, End of  
CRDQZAAHABIS                  Total Credit to Households and Non-Profit Institutions Serving Households, Adjusted for Breaks, for South Africa         B NSA  05-Dec-2022 01-Apr-2022             Quarterly, End of  
CRDQZAAHUBIS                  Total Credit to Households and Non-Profit Institutions Serving Households, Unadjusted for Breaks, for South Africa       B NSA  05-Dec-2022 01-Apr-2022             Quarterly, End of  
CRDQZAANABIS                  Total Credit to Non-Financial Corporations, Adjusted for Breaks, for South Africa                                        B NSA  05-Dec-2022 01-Apr-2022             Quarterly, End of  
CRDQZAANUBIS                  Total Credit to Non-Financial Corporations, Unadjusted for Breaks, for South Africa                                      B NSA  05-Dec-2022 01-Apr-2022             Quarterly, End of  
CRDQZAAPABIS                  Total Credit to Private Non-Financial Sector, Adjusted for Breaks, for South Africa                                      B NSA  05-Dec-2022 01-Apr-2022             Quarterly, End of  
CRDQZAAPUBIS                  Total Credit to Private Non-Financial Sector, Unadjusted for Breaks, for South Africa                                    B NSA  05-Dec-2022 01-Apr-2022             Quarterly, End of  
CRDQZABPABIS                  Credit to Private Non-Financial Sector by Domestic Banks, Adjusted for Breaks, for South Africa                          B NSA  05-Dec-2022 01-Apr-2022             Quarterly, End of  
CRDQZABPUBIS                  Credit to Private Non-Financial Sector by Domestic Banks, Unadjusted for Breaks, for South Africa                        B NSA  05-Dec-2022 01-Apr-2022             Quarterly, End of  
Q4TCAM770A                    Total Credit to Non-Financial Sector, Adjusted for Breaks, for Emerging Economies                                        P NSA  05-Dec-2022 01-Apr-2022             Quarterly, End of  
Q4TCAM799A                    Total Credit to Non-Financial Sector, Adjusted for Breaks, for Emerging Economies                                        P NSA  05-Dec-2022 01-Apr-2022             Quarterly, End of  
Q4TCAMUSDA                    Total Credit to Non-Financial Sector, Adjusted for Breaks, for Emerging Economies                                        B NSA  05-Dec-2022 01-Apr-2022             Quarterly, End of  
Q4TGAN770A                    Nominal Total Credit to General Government, Adjusted for Breaks, for Emerging Economies                                  P NSA  05-Dec-2022 01-Apr-2022             Quarterly, End of  
Q4TGAN799A                    Nominal Total Credit to General Government, Adjusted for Breaks, for Emerging Economies                                  P NSA  05-Dec-2022 01-Apr-2022             Quarterly, End of  
Q4TGANUSDA                    Nominal Total Credit to General Government, Adjusted for Breaks, for Emerging Economies                                  B NSA  05-Dec-2022 01-Apr-2022             Quarterly, End of  
Q4THAM770A                    Total Credit to Households and NPISHs, Adjusted for Breaks, for Emerging Economies                                       P NSA  05-Dec-2022 01-Apr-2022             Quarterly, End of  
Q4THAM799A                    Total Credit to Households and NPISHs, Adjusted for Breaks, for Emerging Economies                                       P NSA  05-Dec-2022 01-Apr-2022             Quarterly, End of  
Q4THAMUSDA                    Total Credit to Households and NPISHs, Adjusted for Breaks, for Emerging Economies                                       B NSA  05-Dec-2022 01-Apr-2022             Quarterly, End of  
Q4TNAM770A                    Total Credit to Non-Financial Corporations, Adjusted for Breaks, for Emerging Economies                                  P NSA  05-Dec-2022 01-Apr-2022             Quarterly, End of  
Q4TNAM799A                    Total Credit to Non-Financial Corporations, Adjusted for Breaks, for Emerging Economies                                  P NSA  05-Dec-2022 01-Apr-2022             Quarterly, End of  
Q4TNAMUSDA                    Total Credit to Non-Financial Corporations, Adjusted for Breaks, for Emerging Economies                                  B NSA  05-Dec-2022 01-Apr-2022             Quarterly, End of  
Q4TPAM770A                    Total Credit to Private Non-Financial Sector, Adjusted for Breaks, for Emerging Economies                                P NSA  05-Dec-2022 01-Apr-2022             Quarterly, End of  
Q4TPAM799A                    Total Credit to Private Non-Financial Sector, Adjusted for Breaks, for Emerging Economies                                P NSA  05-Dec-2022 01-Apr-2022             Quarterly, End of  
Q4TPAMUSDA                    Total Credit to Private Non-Financial Sector, Adjusted for Breaks, for Emerging Economies                                B NSA  05-Dec-2022 01-Apr-2022             Quarterly, End of  
Q4TPBM770A                    Credit to Private Non-Financial Sector by Banks, Adjusted for Breaks, for Emerging Economies                             P NSA  05-Dec-2022 01-Apr-2022             Quarterly, End of  
Q4TPBM799A                    Credit to Private Non-Financial Sector by Banks, Adjusted for Breaks, for Emerging Economies                             P NSA  05-Dec-2022 01-Apr-2022             Quarterly, End of  
Q4TPBMUSDA                    Credit to Private Non-Financial Sector by Banks, Adjusted for Breaks, for Emerging Economies                             B NSA  05-Dec-2022 01-Apr-2022             Quarterly, End of  
Q5ACAM770A                    Total Credit to Non-Financial Sector, Adjusted for Breaks, for Total Reporting Countries                                 P NSA  05-Dec-2022 01-Apr-2022             Quarterly, End of  
Q5ACAM799A                    Total Credit to Non-Financial Sector, Adjusted for Breaks, for Total Reporting Countries                                 P NSA  05-Dec-2022 01-Apr-2022             Quarterly, End of  
Q5ACAMUSDA                    Total Credit to Non-Financial Sector, Adjusted for Breaks, for Total Reporting Countries                                 B NSA  05-Dec-2022 01-Apr-2022             Quarterly, End of  
Q5AGAM770A                    Total Credit to General Government, Adjusted for Breaks, for Total Reporting Countries                                   P NSA  05-Dec-2022 01-Apr-2022             Quarterly, End of  
Q5AGAM799A                    Total Credit to General Government, Adjusted for Breaks, for Total Reporting Countries                                   P NSA  05-Dec-2022 01-Apr-2022             Quarterly, End of  
Q5AGAMUSDA                    Total Credit to General Government, Adjusted for Breaks, for Total Reporting Countries                                   B NSA  05-Dec-2022 01-Apr-2022             Quarterly, End of  
Q5AGAN770A                    Nominal Total Credit to General Government, Adjusted for Breaks, for Total Reporting Countries                           P NSA  05-Dec-2022 01-Apr-2022             Quarterly, End of  
Q5AGAN799A                    Nominal Total Credit to General Government, Adjusted for Breaks, for Total Reporting Countries                           P NSA  05-Dec-2022 01-Apr-2022             Quarterly, End of  
Q5AGANUSDA                    Nominal Total Credit to General Government, Adjusted for Breaks, for Total Reporting Countries                           B NSA  05-Dec-2022 01-Apr-2022             Quarterly, End of  
Q5AHAM770A                    Total Credit to Households and NPISHs, Adjusted for Breaks, for Total Reporting Countries                                P NSA  05-Dec-2022 01-Apr-2022             Quarterly, End of  
Q5AHAM799A                    Total Credit to Households and NPISHs, Adjusted for Breaks, for Total Reporting Countries                                P NSA  05-Dec-2022 01-Apr-2022             Quarterly, End of  
Q5AHAMUSDA                    Total Credit to Households and NPISHs, Adjusted for Breaks, for Total Reporting Countries                                B NSA  05-Dec-2022 01-Apr-2022             Quarterly, End of  
Q5ANAM770A                    Total Credit to Non-Financial Corporations, Adjusted for breaks, for Total Reporting Countries                           P NSA  05-Dec-2022 01-Apr-2022             Quarterly, End of  
Q5ANAM799A                    Total Credit to Non-Financial Corporations, Adjusted for breaks, for Total Reporting Countries                           P NSA  05-Dec-2022 01-Apr-2022             Quarterly, End of  
Q5ANAMUSDA                    Total Credit to Non-Financial Corporations, Adjusted for breaks, for Total Reporting Countries                           B NSA  05-Dec-2022 01-Apr-2022             Quarterly, End of  
Q5APAM770A                    Total Credit to Private Non-Financial Sector, Adjusted for Breaks, for Total Reporting Countries                         P NSA  05-Dec-2022 01-Apr-2022             Quarterly, End of  
Q5APAM799A                    Total Credit to Private Non-Financial Sector, Adjusted for Breaks, for Total Reporting Countries                         P NSA  05-Dec-2022 01-Apr-2022             Quarterly, End of  
Q5APAMUSDA                    Total Credit to Private Non-Financial Sector, Adjusted for Breaks, for Total Reporting Countries                         B NSA  05-Dec-2022 01-Apr-2022             Quarterly, End of  
Q5APBM770A                    Credit to Private Non-Financial Sector by Banks, Adjusted for Breaks, for Total Reporting Countries                      P NSA  05-Dec-2022 01-Apr-2022             Quarterly, End of  
Q5APBM799A                    Credit to Private Non-Financial Sector by Banks, Adjusted for Breaks, for Total Reporting Countries                      P NSA  05-Dec-2022 01-Apr-2022             Quarterly, End of  
Q5APBMUSDA                    Credit to Private Non-Financial Sector by Banks, Adjusted for Breaks, for Total Reporting Countries                      B NSA  05-Dec-2022 01-Apr-2022             Quarterly, End of  
Q5RCAM770A                    Total Credit to Non-Financial Sector, Adjusted for Breaks, for Advanced Economies                                        P NSA  05-Dec-2022 01-Apr-2022             Quarterly, End of  
Q5RCAM799A                    Total Credit to Non-Financial Sector, Adjusted for Breaks, for Advanced Economies                                        P NSA  05-Dec-2022 01-Apr-2022             Quarterly, End of  
Q5RCAMUSDA                    Total Credit to Non-Financial Sector, Adjusted for Breaks, for Advanced Economies                                        B NSA  05-Dec-2022 01-Apr-2022             Quarterly, End of  
Q5RGAM770A                    Total Credit to General Government, Adjusted for Breaks, for Advanced Economies                                          P NSA  05-Dec-2022 01-Apr-2022             Quarterly, End of  
Q5RGAM799A                    Total Credit to General Government, Adjusted for Breaks, for Advanced Economies                                          P NSA  05-Dec-2022 01-Apr-2022             Quarterly, End of  
Q5RGAMUSDA                    Total Credit to General Government, Adjusted for Breaks, for Advanced Economies                                          B NSA  05-Dec-2022 01-Apr-2022             Quarterly, End of  
Q5RGAN770A                    Total Credit to General Government, Adjusted for Breaks, for Advanced Economies                                          P NSA  05-Dec-2022 01-Apr-2022             Quarterly, End of  
Q5RGAN799A                    Total Credit to General Government, Adjusted for Breaks, for Advanced Economies                                          P NSA  05-Dec-2022 01-Apr-2022             Quarterly, End of  
Q5RGANUSDA                    Total Credit to General Government, Adjusted for Breaks, for Advanced Economies                                          B NSA  05-Dec-2022 01-Apr-2022             Quarterly, End of  
Q5RHAM770A                    Total Credit to Households and NPISHs, Adjusted for Breaks, for Advanced Economies                                       P NSA  05-Dec-2022 01-Apr-2022             Quarterly, End of  
Q5RHAM799A                    Total Credit to Households and NPISHs, Adjusted for Breaks, for Advanced Economies                                       P NSA  05-Dec-2022 01-Apr-2022             Quarterly, End of  
Q5RHAMUSDA                    Total Credit to Households and NPISHs, Adjusted for Breaks, for Advanced Economies                                       B NSA  05-Dec-2022 01-Apr-2022             Quarterly, End of  
Q5RNAM770A                    Total Credit to Non-Financial Corporations, Adjusted for Breaks, for Advanced Economies                                  P NSA  05-Dec-2022 01-Apr-2022             Quarterly, End of  
Q5RNAM799A                    Total Credit to Non-Financial Corporations, Adjusted for Breaks, for Advanced Economies                                  P NSA  05-Dec-2022 01-Apr-2022             Quarterly, End of  
Q5RNAMUSDA                    Total Credit to Non-Financial Corporations, Adjusted for Breaks, for Advanced Economies                                  B NSA  05-Dec-2022 01-Apr-2022             Quarterly, End of  
Q5RPAM770A                    Total Credit to Private Non-Financial Sector, Adjusted for Breaks, for Advanced Economies                                P NSA  05-Dec-2022 01-Apr-2022             Quarterly, End of  
Q5RPAM799A                    Total Credit to Private Non-Financial Sector, Adjusted for Breaks, for Advanced Economies                                P NSA  05-Dec-2022 01-Apr-2022             Quarterly, End of  
Q5RPAMUSDA                    Total Credit to Private Non-Financial Sector, Adjusted for Breaks, for Advanced Economies                                B NSA  05-Dec-2022 01-Apr-2022             Quarterly, End of  
Q5RPBM770A                    Credit to Private Non-Financial Sector by Banks, Adjusted for Breaks, for Advanced Economies                             P NSA  05-Dec-2022 01-Apr-2022             Quarterly, End of  
Q5RPBM799A                    Credit to Private Non-Financial Sector by Banks, Adjusted for Breaks, for Advanced Economies                             P NSA  05-Dec-2022 01-Apr-2022             Quarterly, End of  
Q5RPBMUSDA                    Credit to Private Non-Financial Sector by Banks, Adjusted for Breaks, for Advanced Economies                             B NSA  05-Dec-2022 01-Apr-2022             Quarterly, End of  
QARCAM770A                    Total Credit to Non-Financial Sector, Adjusted for Breaks, for Argentina                                                 P NSA  05-Dec-2022 01-Apr-2022             Quarterly, End of  
QARCAMUSDA                    Total Credit to Non-Financial Sector, Adjusted for Breaks, for Argentina                                                 B NSA  05-Dec-2022 01-Apr-2022             Quarterly, End of  
QARCAMXDCA                    Total Credit to Non-Financial Sector, Adjusted for Breaks, for Argentina                                                 B NSA  05-Dec-2022 01-Apr-2022             Quarterly, End of  
QARGAN770A                    Nominal Total Credit to General Government, Adjusted for Breaks, for Argentina                                           P NSA  05-Dec-2022 01-Apr-2022             Quarterly, End of  
QARGANUSDA                    Nominal Total Credit to General Government, Adjusted for Breaks, for Argentina                                           B NSA  05-Dec-2022 01-Apr-2022             Quarterly, End of  
QARGANXDCA                    Nominal Total Credit to General Government, Adjusted for Breaks, for Argentina                                           B NSA  05-Dec-2022 01-Apr-2022             Quarterly, End of  
QARHAM770A                    Total Credit to Households and NPISHs, Adjusted for Breaks, for Argentina                                                P NSA  05-Dec-2022 01-Apr-2022             Quarterly, End of  
QARHAMUSDA                    Total Credit to Households and NPISHs, Adjusted for Breaks, for Argentina                                                B NSA  05-Dec-2022 01-Apr-2022             Quarterly, End of  
QARHAMXDCA                    Total Credit to Households and NPISHs, Adjusted for Breaks, for Argentina                                                B NSA  05-Dec-2022 01-Apr-2022             Quarterly, End of  
QARHAMXDCU                    Total Credit to Households and NPISHs, Unadjusted for Breaks, for Argentina                                              B NSA  05-Dec-2022 01-Apr-2022             Quarterly, End of  
QARNAM770A                    Total Credit to Non-Financial Corporations, Adjusted for Breaks, for Argentina                                           P NSA  05-Dec-2022 01-Apr-2022             Quarterly, End of  
QARNAMUSDA                    Total Credit to Non-Financial Corporations, Adjusted for Breaks, for Argentina                                           B NSA  05-Dec-2022 01-Apr-2022             Quarterly, End of  
QARNAMXDCA                    Total Credit to Non-Financial Corporations, Adjusted for Breaks, for Argentina                                           B NSA  05-Dec-2022 01-Apr-2022             Quarterly, End of  
QARNAMXDCU                    Total Credit to Non-Financial Corporations, Unadjusted for Breaks, for Argentina                                         B NSA  05-Dec-2022 01-Apr-2022             Quarterly, End of  
QARPAM770A                    Total Credit to Private Non-Financial Sector, Adjusted for Breaks, for Argentina                                         P NSA  05-Dec-2022 01-Apr-2022             Quarterly, End of  
QARPAMUSDA                    Total Credit to Private Non-Financial Sector, Adjusted for Breaks, for Argentina                                         B NSA  05-Dec-2022 01-Apr-2022             Quarterly, End of  
QARPBM770A                    Credit to Private Non-Financial Sector by Banks, Adjusted for Breaks, for Argentina                                      P NSA  05-Dec-2022 01-Apr-2022             Quarterly, End of  
QARPBMUSDA                    Credit to Private Non-Financial Sector by Banks, Adjusted for Breaks, for Argentina                                      B NSA  05-Dec-2022 01-Apr-2022             Quarterly, End of  
QATCAM770A                    Total Credit to Non-Financial Sector, Adjusted for Breaks, for Austria                                                   P NSA  05-Dec-2022 01-Apr-2022             Quarterly, End of  
QATCAMUSDA                    Total Credit to Non-Financial Sector, Adjusted for Breaks, for Austria                                                   B NSA  05-Dec-2022 01-Apr-2022             Quarterly, End of  
QATCAMXDCA                    Total Credit to Non-Financial Sector, Adjusted for Breaks, for Austria                                                   B NSA  05-Dec-2022 01-Apr-2022             Quarterly, End of  
QATGAM770A                    Total Credit to General Government, Adjusted for Breaks, for Austria                                                     P NSA  05-Dec-2022 01-Apr-2022             Quarterly, End of  
QATGAMUSDA                    Total Credit to General Government, Adjusted for Breaks, for Austria                                                     B NSA  05-Dec-2022 01-Apr-2022             Quarterly, End of  
QATGAMXDCA                    Total Credit to General Government, Adjusted for Breaks, for Austria                                                     B NSA  05-Dec-2022 01-Apr-2022             Quarterly, End of  
QATGAN770A                    Nominal Total Credit to General Government, Adjusted for Breaks, for Austria                                             P NSA  05-Dec-2022 01-Apr-2022             Quarterly, End of  
QATGANUSDA                    Nominal Total Credit to General Government, Adjusted for Breaks, for Austria                                             B NSA  05-Dec-2022 01-Apr-2022             Quarterly, End of  
QATGANXDCA                    Nominal Total Credit to General Government, Adjusted for Breaks, for Austria                                             B NSA  05-Dec-2022 01-Apr-2022             Quarterly, End of  
QATHAM770A                    Total Credit to Households and NPISHs, Adjusted for Breaks, for Austria                                                  P NSA  05-Dec-2022 01-Apr-2022             Quarterly, End of  
QATHAMUSDA                    Total Credit to Households and NPISHs, Adjusted for Breaks, for Austria                                                  B NSA  05-Dec-2022 01-Apr-2022             Quarterly, End of  
QATNAM770A                    Total Credit to Non-Financial Corporations, Adjusted for Breaks, for Austria                                             P NSA  05-Dec-2022 01-Apr-2022             Quarterly, End of  
QATNAMUSDA                    Total Credit to Non-Financial Corporations, Adjusted for Breaks, for Austria                                             B NSA  05-Dec-2022 01-Apr-2022             Quarterly, End of  
QATPAM770A                    Total Credit to Private Non-Financial Sector, Adjusted for Breaks, for Austria                                           P NSA  05-Dec-2022 01-Apr-2022             Quarterly, End of  
QATPAMUSDA                    Total Credit to Private Non-Financial Sector, Adjusted for Breaks, for Austria                                           B NSA  05-Dec-2022 01-Apr-2022             Quarterly, End of  
QATPBM770A                    Credit to Private Non-Financial Sector by Banks, Adjusted for Breaks, for Austria                                        P NSA  05-Dec-2022 01-Apr-2022             Quarterly, End of  
QATPBMUSDA                    Credit to Private Non-Financial Sector by Banks, Adjusted for Breaks, for Austria                                        B NSA  05-Dec-2022 01-Apr-2022             Quarterly, End of  
QAUCAM770A                    Total Credit to Non-Financial Sector, Adjusted for Breaks, for Australia                                                 P NSA  05-Dec-2022 01-Apr-2022             Quarterly, End of  
QAUCAMUSDA                    Total Credit to Non-Financial Sector, Adjusted for Breaks, for Australia                                                 B NSA  05-Dec-2022 01-Apr-2022             Quarterly, End of  
QAUCAMXDCA                    Total Credit to Non-Financial Sector, Adjusted for Breaks, for Australia                                                 B NSA  05-Dec-2022 01-Apr-2022             Quarterly, End of  
QAUGAM770A                    Total Credit to General Government, Adjusted for Breaks, for Australia                                                   P NSA  05-Dec-2022 01-Apr-2022             Quarterly, End of  
QAUGAMUSDA                    Total Credit to General Government, Adjusted for Breaks, for Australia                                                   B NSA  05-Dec-2022 01-Apr-2022             Quarterly, End of  
QAUGAMXDCA                    Total Credit to General Government, Adjusted for Breaks, for Australia                                                   B NSA  05-Dec-2022 01-Apr-2022             Quarterly, End of  
QAUGAN770A                    Nominal Total Credit to General Government, Adjusted for Breaks, for Australia                                           P NSA  05-Dec-2022 01-Apr-2022             Quarterly, End of  
QAUGANUSDA                    Nominal Total Credit to General Government, Adjusted for Breaks, for Australia                                           B NSA  05-Dec-2022 01-Apr-2022             Quarterly, End of  
QAUGANXDCA                    Nominal Total Credit to General Government, Adjusted for Breaks, for Australia                                           B NSA  05-Dec-2022 01-Apr-2022             Quarterly, End of  
QAUHAM770A                    Total Credit to Households and NPISHs, Adjusted for Breaks, for Australia                                                P NSA  05-Dec-2022 01-Apr-2022             Quarterly, End of  
QAUHAMUSDA                    Total Credit to Households and NPISHs, Adjusted for Breaks, for Australia                                                B NSA  05-Dec-2022 01-Apr-2022             Quarterly, End of  
QAUNAM770A                    Total Credit to Non-Financial Corporations, Adjusted for Breaks, for Australia                                           P NSA  05-Dec-2022 01-Apr-2022             Quarterly, End of  
QAUNAMUSDA                    Total Credit to Non-Financial Corporations, Adjusted for Breaks, for Australia                                           B NSA  05-Dec-2022 01-Apr-2022             Quarterly, End of  
QAUPAM770A                    Total Credit to Private Non-Financial Sector, Adjusted for Breaks, for Australia                                         P NSA  05-Dec-2022 01-Apr-2022             Quarterly, End of  
QAUPAMUSDA                    Total Credit to Private Non-Financial Sector, Adjusted for Breaks, for Australia                                         B NSA  05-Dec-2022 01-Apr-2022             Quarterly, End of  
QAUPBM770A                    Credit to Private Non-Financial Sector by Banks, Adjusted for Breaks, for Australia                                      P NSA  05-Dec-2022 01-Apr-2022             Quarterly, End of  
QAUPBMUSDA                    Credit to Private Non-Financial Sector by Banks, Adjusted for Breaks, for Australia                                      B NSA  05-Dec-2022 01-Apr-2022             Quarterly, End of  
QBECAM770A                    Total Credit to Non-Financial Sector, Adjusted for Breaks, for Belgium                                                   P NSA  05-Dec-2022 01-Apr-2022             Quarterly, End of  
QBECAMUSDA                    Total Credit to Non-Financial Sector, Adjusted for Breaks, for Belgium                                                   B NSA  05-Dec-2022 01-Apr-2022             Quarterly, End of  
QBECAMXDCA                    Total Credit to Non-Financial Sector, Adjusted for Breaks, for Belgium                                                   B NSA  05-Dec-2022 01-Apr-2022             Quarterly, End of  
QBEGAM770A                    Total Credit to General Government, Adjusted for Breaks, for Belgium                                                     P NSA  05-Dec-2022 01-Apr-2022             Quarterly, End of  
QBEGAMUSDA                    Total Credit to General Government, Adjusted for Breaks, for Belgium                                                     B NSA  05-Dec-2022 01-Apr-2022             Quarterly, End of  
QBEGAMXDCA                    Total Credit to General Government, Adjusted for Breaks, for Belgium                                                     B NSA  05-Dec-2022 01-Apr-2022             Quarterly, End of  
QBEGAN770A                    Nominal Total Credit to General Government, Adjusted for Breaks, for Belgium                                             P NSA  05-Dec-2022 01-Apr-2022             Quarterly, End of  
QBEGANUSDA                    Nominal Total Credit to General Government, Adjusted for Breaks, for Belgium                                             B NSA  05-Dec-2022 01-Apr-2022             Quarterly, End of  
QBEGANXDCA                    Nominal Total Credit to General Government, Adjusted for Breaks, for Belgium                                             B NSA  05-Dec-2022 01-Apr-2022             Quarterly, End of  
QBEHAM770A                    Total Credit to Households and NPISHs, Adjusted for Breaks, for Belgium                                                  P NSA  05-Dec-2022 01-Apr-2022             Quarterly, End of  
QBEHAMUSDA                    Total Credit to Households and NPISHs, Adjusted for Breaks, for Belgium                                                  B NSA  05-Dec-2022 01-Apr-2022             Quarterly, End of  
QBENAM770A                    Total Credit to Non-Financial Corporations, Adjusted for Breaks, for Belgium                                             P NSA  05-Dec-2022 01-Apr-2022             Quarterly, End of  
QBENAMUSDA                    Total Credit to Non-Financial Corporations, Adjusted for Breaks, for Belgium                                             B NSA  05-Dec-2022 01-Apr-2022             Quarterly, End of  
