Release  Id : 190	Primary Mortgage Market Survey
MORTPTS30SE                   Origination Fees and Discount Points for 30-Year Fixed Rate Mortgage in the Southeast Freddie Mac Region (DISCONTINUED)  P NSA  31-Dec-2015 31-Dec-2015             Weekly, Ending Thu 
MORTPTS30SW                   Origination Fees and Discount Points for 30-Year Fixed Rate Mortgage in the Southwest Freddie Mac Region (DISCONTINUED)  P NSA  31-Dec-2015 31-Dec-2015             Weekly, Ending Thu 
MORTPTS30US                   Origination Fees and Discount Points for 30-Year Fixed Rate Mortgage in the United States (DISCONTINUED)                 P NSA  10-Nov-2022 10-Nov-2022             Weekly, Ending Thu 
MORTPTS30W                    Origination Fees and Discount Points for 30-Year Fixed Rate Mortgage in the West Freddie Mac Region (DISCONTINUED)       P NSA  07-Jan-2016 31-Dec-2015             Weekly, Ending Thu 
MORTPTS5NC                    Origination Fees and Discount Points for 5/1-Year Adjustable Rate Mortgage in the North Central Freddie Mac Region (DIS  P NSA  31-Dec-2015 31-Dec-2015             Weekly, Ending Thu 
MORTPTS5NE                    Origination Fees and Discount Points for 5/1-Year Adjustable Rate Mortgage in the Northeast Freddie Mac Region (DISCONT  P NSA  31-Dec-2015 31-Dec-2015             Weekly, Ending Thu 
MORTPTS5SE                    Origination Fees and Discount Points for 5/1-Year Adjustable Rate Mortgage in the Southeast Freddie Mac Region (DISCONT  P NSA  31-Dec-2015 31-Dec-2015             Weekly, Ending Thu 
MORTPTS5SW                    Origination Fees and Discount Points for 5/1-Year Adjustable Rate Mortgage in the Southwest Freddie Mac Region (DISCONT  P NSA  31-Dec-2015 31-Dec-2015             Weekly, Ending Thu 
MORTPTS5US                    Origination Fees and Discount Points for 5/1-Year Adjustable Rate Mortgage in the United States (DISCONTINUED)           P NSA  10-Nov-2022 10-Nov-2022             Weekly, Ending Thu 
MORTPTS5W                     Origination Fees and Discount Points for 5/1-Year Adjustable Rate Mortgage in the West Freddie Mac Region (DISCONTINUED) P NSA  31-Dec-2015 31-Dec-2015             Weekly, Ending Thu 
