Id : 14  G.19 Consumer Credit
FLREVOLNSAV                             Revolving Consumer Credit Owned by Savings Institutions, Flow (DISCONTINUED)                                                            NSA  Monthly    07-Jun-2022  
FLREVOLNSAVA                            Revolving Consumer Credit Owned by Savings Institutions, Flow (DISCONTINUED)                                                            NSA  Monthly    07-Jun-2022  
FLREVOLNSEC                             Revolving Securitized Consumer Credit, Flow                                                                                             NSA  Monthly    07-Dec-2022  
FLREVOLNSECA                            Revolving Securitized Consumer Credit, Flow                                                                                             NSA  Monthly    07-Dec-2022  
FLREVOLSL                               Revolving Consumer Credit Owned and Securitized, Flow                                                                                   SA   Monthly    07-Dec-2022  
FLREVOLSLA                              Revolving Consumer Credit Owned and Securitized, Flow                                                                                   SA   Monthly    07-Dec-2022  
FLSLOAS                                 Student Loans Owned and Securitized, Flow                                                                                               NSA  Quarterly, End of Period 07-Dec-2022  
FLSLOASA                                Student Loans Owned and Securitized, Flow                                                                                               NSA  Quarterly, End of Period 07-Dec-2022  
FLTOTALCB                               Total Consumer Credit Owned by Commercial Banks, Flow (DISCONTINUED)                                                                    NSA  Monthly    07-Jun-2022  
FLTOTALCBA                              Total Consumer Credit Owned by Commercial Banks, Flow (DISCONTINUED)                                                                    NSA  Monthly    07-Jun-2022  
FLTOTALDI                               Total Consumer Credit Owned by Depository Institutions, Flow                                                                            NSA  Monthly    07-Dec-2022  
FLTOTALDIA                              Total Consumer Credit Owned by Depository Institutions, Flow                                                                            NSA  Monthly    07-Dec-2022  
FLTOTALFC                               Total Consumer Credit Owned by Finance Companies, Flow                                                                                  NSA  Monthly    07-Dec-2022  
FLTOTALFCA                              Total Consumer Credit Owned by Finance Companies, Flow                                                                                  NSA  Monthly    07-Dec-2022  
FLTOTALGOV                              Total Consumer Credit Owned by Federal Government, Flow                                                                                 NSA  Monthly    07-Dec-2022  
FLTOTALGOVA                             Total Consumer Credit Owned by Federal Government, Flow                                                                                 NSA  Monthly    07-Dec-2022  
FLTOTALNEI                              Total Consumer Credit Owned by Nonprofit and Educational Institutions, Flow                                                             NSA  Monthly    07-Dec-2022  
FLTOTALNEIA                             Total Consumer Credit Owned by Nonprofit and Educational Institutions, Flow                                                             NSA  Monthly    07-Dec-2022  
FLTOTALNFC                              Total Consumer Credit Owned by Nonfinancial Business, Flow                                                                              NSA  Monthly    07-Dec-2022  
FLTOTALNFCA                             Total Consumer Credit Owned by Nonfinancial Business, Flow                                                                              NSA  Monthly    07-Dec-2022  
FLTOTALNS                               Total Consumer Credit Owned and Securitized, Flow                                                                                       NSA  Monthly    07-Dec-2022  
FLTOTALNSA                              Total Consumer Credit Owned and Securitized, Flow                                                                                       NSA  Monthly    07-Dec-2022  
FLTOTALSAV                              Total Consumer Credit Owned by Savings Institutions, Flow (DISCONTINUED)                                                                NSA  Monthly    07-Jun-2022  
FLTOTALSAVA                             Total Consumer Credit Owned by Savings Institutions, Flow (DISCONTINUED)                                                                NSA  Monthly    07-Jun-2022  
FLTOTALSEC                              Total Securitized Consumer Credit, Flow                                                                                                 NSA  Monthly    07-Dec-2022  
FLTOTALSECA                             Total Securitized Consumer Credit, Flow                                                                                                 NSA  Monthly    07-Dec-2022  
FLTOTALSL                               Total Consumer Credit Owned and Securitized, Flow                                                                                       SA   Monthly    07-Dec-2022  
FLTOTALSLA                              Total Consumer Credit Owned and Securitized, Flow                                                                                       SA   Monthly    07-Dec-2022  
FLTOTALTCU                              Total Consumer Credit Owned by Credit Unions, Flow                                                                                      NSA  Monthly    07-Dec-2022  
FLTOTALTCUA                             Total Consumer Credit Owned by Credit Unions, Flow                                                                                      NSA  Monthly    07-Dec-2022  
G19DTCNLRHFNM                           Revolving Consumer Credit Securitized by Finance Companies                                                                              NSA  Monthly    07-Dec-2022  
G19DTCNLRHFXDFBANM                      Revolving Consumer Credit Securitized by Finance Companies, Flow                                                                        NSA  Monthly    07-Dec-2022  
G19DTCTLRHFNM                           Revolving Consumer Credit Owned and Securitized by Finance Companies                                                                    NSA  Monthly    07-Dec-2022  
G19DTCTLRHFXDFBANM                      Revolving Consumer Credit Owned and Securitized by Finance Companies, Flow                                                              NSA  Monthly    07-Dec-2022  
MVLOAS                                  Motor Vehicle Loans Owned and Securitized                                                                                               NSA  Quarterly, End of Period 07-Dec-2022  
NONREVNS                                Nonrevolving Consumer Credit Owned and Securitized                                                                                      NSA  Monthly    07-Dec-2022  
NONREVSL                                Nonrevolving Consumer Credit Owned and Securitized                                                                                      SA   Monthly    07-Dec-2022  
NONREVSLAR                              Percent Change of Total Nonrevolving Consumer Credit                                                                                    SAAR Monthly    07-Dec-2022  
NREVNCB                                 Nonrevolving Consumer Credit Owned by Commercial Banks (DISCONTINUED)                                                                   NSA  Monthly    07-Jun-2022  
NREVNCU                                 Nonrevolving Consumer Credit Owned by Credit Unions                                                                                     NSA  Monthly    07-Dec-2022  
NREVNDI                                 Nonrevolving Consumer Credit Owned by Depository Institutions                                                                           NSA  Monthly    07-Dec-2022  
NREVNEI                                 Nonrevolving Consumer Credit Owned by Nonprofit and Educational Institutions                                                            NSA  Monthly    07-Dec-2022  
NREVNFC                                 Nonrevolving Consumer Credit Owned by Finance Companies                                                                                 NSA  Monthly    07-Dec-2022  
NREVNGOV                                Nonrevolving Consumer Credit Owned by Federal Government                                                                                NSA  Monthly    07-Dec-2022  
NREVNNFC                                Nonrevolving Consumer Credit Owned by Nonfinancial Business                                                                             NSA  Monthly    07-Dec-2022  
NREVNSAV                                Nonrevolving Consumer Credit Owned by Savings Institutions (DISCONTINUED)                                                               NSA  Monthly    07-Jun-2022  
NREVNSEC                                Nonrevolving Securitized Consumer Credit                                                                                                NSA  Monthly    07-Dec-2022  
OTHERNS                                 Total Other Credit Outstanding (DISCONTINUED)                                                                                           NSA  Monthly, End of Period 22-Sep-2006  
OTHERSL                                 Total Other Credit Outstanding (DISCONTINUED)                                                                                           SA   Monthly, End of Period 22-Sep-2006  
REVOLNCB                                Revolving Consumer Credit Owned by Commercial Banks (DISCONTINUED)                                                                      NSA  Monthly    07-Jun-2022  
REVOLNCU                                Revolving Consumer Credit Owned by Credit Unions                                                                                        NSA  Monthly    07-Dec-2022  
REVOLNDI                                Revolving Consumer Credit Owned by Depository Institutions                                                                              NSA  Monthly    07-Dec-2022  
REVOLNFC                                Revolving Consumer Credit Owned by Finance Companies                                                                                    NSA  Monthly    07-Dec-2022  
REVOLNNFC                               Revolving Consumer Credit Owned by Nonfinancial Business                                                                                NSA  Monthly    07-Dec-2022  
REVOLNS                                 Revolving Consumer Credit Owned and Securitized                                                                                         NSA  Monthly    07-Dec-2022  
REVOLNSAV                               Revolving Consumer Credit Owned by Savings Institutions (DISCONTINUED)                                                                  NSA  Monthly    07-Jun-2022  
REVOLNSEC                               Revolving Securitized Consumer Credit                                                                                                   NSA  Monthly    07-Dec-2022  
REVOLSL                                 Revolving Consumer Credit Owned and Securitized                                                                                         SA   Monthly    07-Dec-2022  
REVOLSLAR                               Percent Change of Total Revolving Consumer Credit                                                                                       SAAR Monthly    07-Dec-2022  
RIELPCFANNM                             Average Finance Rate of New Car Loans at Finance Companies, Amount of Finance Weighted                                                  NSA  Monthly    07-Dec-2022  
RIFLPBCIANM60NM                         Finance Rate on Consumer Installment Loans at Commercial Banks, New Autos 60 Month Loan                                                 NSA  Monthly    07-Oct-2022  
RIFLPBCIANM72NM                         Finance Rate on Consumer Installment Loans at Commercial Banks, New Autos 72 Month Loan                                                 NSA  Monthly    07-Oct-2022  
SLOAS                                   Student Loans Owned and Securitized                                                                                                     NSA  Quarterly, End of Period 07-Dec-2022  
TERMAFCNCNSA                            New Car Average Finance Rate at Auto Finance Companies (DISCONTINUED)                                                                   NSA  Monthly    26-Jun-2012  
TERMCBAUTO48NS                          Finance Rate on Consumer Installment Loans at Commercial Banks, New Autos 48 Month Loan                                                 NSA  Monthly    07-Oct-2022  
TERMCBCCALLNS                           Commercial Bank Interest Rate on Credit Card Plans, All Accounts                                                                        NSA  Monthly    07-Oct-2022  
TERMCBCCINTNS                           Commercial Bank Interest Rate on Credit Card Plans, Accounts Assessed Interest                                                          NSA  Monthly    07-Oct-2022  
TERMCBPER24NS                           Finance Rate on Personal Loans at Commercial Banks, 24 Month Loan                                                                       NSA  Monthly    07-Oct-2022  
TERMFCAAFNCNS                           Average Amount Financed for New Car Loans at Auto Finance Companies (DISCONTINUED)                                                      NSA  Monthly    26-Jun-2012  
TERMFCLVRNCNS                           Loan-to-Value Ratio of New Car Loans at Auto Finance Companies (DISCONTINUED)                                                           NSA  Monthly    26-Jun-2012  
TERMFCWAMNCLNS                          Weighted-Average Maturity of New Car Loans at Auto Finance Companies (DISCONTINUED)                                                     NSA  Monthly    26-Jun-2012  
TOTALCB                                 Total Consumer Credit Owned by Commercial Banks (DISCONTINUED)                                                                          NSA  Monthly    07-Jun-2022  
TOTALDI                                 Total Consumer Credit Owned by Depository Institutions                                                                                  NSA  Monthly    07-Dec-2022  
TOTALFC                                 Total Consumer Credit Owned by Finance Companies                                                                                        NSA  Monthly    07-Dec-2022  
TOTALGOV                                Total Consumer Credit Owned by Federal Government                                                                                       NSA  Monthly    07-Dec-2022  
TOTALNEI                                Total Consumer Credit Owned by Nonprofit and Educational Institutions                                                                   NSA  Monthly    07-Dec-2022  
TOTALNFC                                Total Consumer Credit Owned by Nonfinancial Business                                                                                    NSA  Monthly    07-Dec-2022  
TOTALNS                                 Total Consumer Credit Owned and Securitized                                                                                             NSA  Monthly    07-Dec-2022  
TOTALSAV                                Total Consumer Credit Owned by Savings Institutions (DISCONTINUED)                                                                      NSA  Monthly    07-Jun-2022  
TOTALSEC                                Total Securitized Consumer Credit                                                                                                       NSA  Monthly    07-Dec-2022  
TOTALSL                                 Total Consumer Credit Owned and Securitized                                                                                             SA   Monthly    07-Dec-2022  
TOTALSLAR                               Percent Change of Total Consumer Credit                                                                                                 SAAR Monthly    07-Dec-2022  
TOTALTCU                                Total Consumer Credit Owned by Credit Unions                                                                                            NSA  Monthly    07-Dec-2022  
